Exporters;Exported value in 2004;Exported value in 2005;Exported value in 2006;Exported value in 2007;Exported value in 2008;Exported value in 2009;Exported value in 2010;Exported value in 2011;Exported value in 2012;Exported value in 2013;Exported value in 2014;Exported value in 2015;Exported value in 2016;Exported value in 2017;Exported value in 2018;Exported value in 2019;Exported value in 2020;Exported value in 2021;Exported value in 2022;Exported value in 2023
Switzerland;3981794;4109316;4581056;5378338;5738288;4471447;5046646;5736257;5175978;5432255;5622051;4892114;4911023;5099103;5554500;5230177;5029513;6201284;6254049;6163630
Sweden;3786441;4140513;4564658;5432142;5782518;4462545;5291038;6051833;5745676;6031374;5898216;4968890;4946539;5352473;5566440;5374363;5218148;6906362;6861059;6149496
Hungary;1734742;2235551;2825108;3300311;3688950;2699641;3271422;4021254;3721754;4120988;4303437;3820432;3831426;4365179;4786337;4461689;4443416;6423670;6085184;5420396
Iran, Islamic Republic of;188240;370179;797613;858757;1410979;2300621;2860440;3380326;3642857;4320475;5074713;4743913;4940010;6042678;5551469;4543710;4189448;6206209;5805267;4680329
Hong Kong, China;11038594;12198390;13080038;13869620;13640326;11389526;14081970;14393659;14644986;14770583;13835849;12305018;11019609;10636557;10040926;9058872;7992756;9251940;5929780;4536253
Portugal;1183350;1566656;1804522;2222069;2407344;1903388;2312352;2758312;2676738;3006545;3257264;2835923;2953253;3309595;3858830;3289971;3143232;4156310;4266727;3946031
Brazil;1513426;2050551;2553011;2897999;2696596;2662864;3087030;3773612;3495990;3363332;3369232;3483327;3501806;3656337;3426433;3043063;2590407;3582216;3823301;3065592
Slovakia;792599;1037207;1415570;1908225;2019487;1659211;2034594;2579301;2203261;2403732;2531559;2349081;2380215;2613556;2815150;2546741;2450111;3300566;3207823;2981466
Denmark;2226220;2370974;2631492;2840382;3003287;2488262;2454399;2736375;2605844;2620466;2643435;2306141;2301945;2510318;2743479;2601319;2685376;3123780;2941282;2888901
Russian Federation;688299;717815;843004;1295132;1410407;1276471;1236002;1550603;2096328;2570423;2680924;2258695;2251873;2814439;3172085;3025527;3775462;6178194;4253539;2801802
Indonesia;1323264;1562052;1738039;1906481;2132333;1772276;2150146;2513675;2436580;2527891;2674254;2251319;2251946;2396582;2587556;2453179;2602791;2892579;2913045;2789215
Israel;1596180;1759440;1892988;2328413;2563854;1873695;2029456;2489932;2319817;2357298;2501715;2270013;2362513;2697909;2932135;2810259;2734571;3323157;3393371;2782075
Qatar;441465;638919;1129397;1369355;1456097;1171778;1494152;2430447;4327088;5155820;5302848;2864836;;2794138;2954905;2401979;2074958;3175089;3399269;2762993
Romania;472508;565064;765959;976995;1182513;769428;926968;1273268;1122185;1286610;1417732;1278881;1382529;1593391;1850829;1829856;1825847;2613473;2640020;2581224
Finland;1663041;1838249;2055387;2445045;2651774;2112997;2409091;2846867;2555053;2790139;2796119;2236160;2168935;2382391;2599160;2383685;2290685;3186130;3119188;2479524
Oman;73291;79791;81840;291258;484643;653231;665169;786001;658182;755032;928201;727462;380717;551615;692724;545005;1330905;2327584;2946241;2363259
Ireland;944568;997585;1058205;1268885;1219586;997928;1159481;1329364;1240208;1419064;1516320;1461058;1404023;1475206;1704293;1647386;1623472;2214069;2373351;2305682
Egypt;198704;280274;391433;431205;889606;757236;886512;1098076;1266775;1511906;1648880;1377354;1189579;1545772;1789937;2006198;1763236;2784541;2782522;2294129
Lithuania;243972;380629;673561;1279838;1332543;1055097;1322846;1606854;1663565;1838933;1871105;1448318;1521235;1785451;2083574;2011487;1888422;2478754;2772987;2200376
Slovenia;555885;631099;749863;950476;1026617;786285;911037;1105858;1081348;1245626;1320316;1143685;1206488;1397484;1605907;1539747;1488995;2042497;2049555;1978317
Greece;682717;796375;927420;1169154;1295726;997852;1125625;1271742;1154149;1200808;1309339;1102713;1110226;1255088;1392129;1312470;1309114;1846774;1894666;1648047
Luxembourg;876562;841112;919955;992263;1232251;1063560;1191176;1333883;1210691;1323572;1333903;1218561;1209214;1067862;1487487;1541958;1489827;1797097;1868745;1609639
Colombia;774358;904122;1048190;1233735;1376644;1099407;1256802;1510205;1541056;1601221;1616938;1423850;1278503;1361423;1532967;1471826;1322811;1983344;1999665;1551456
South Africa;494165;605507;587010;615002;875104;739604;1225992;1409681;1592963;1481130;1582423;1227624;1199094;1307957;1453925;1441844;1235499;1549105;1688280;1449091
Bulgaria;198356;251401;321824;425767;456338;351190;414589;578922;599831;733895;793728;743146;760046;862223;990765;1047077;1095794;1474168;1586118;1440619
Serbia;;;382411;483512;591880;378992;476951;605923;520454;790098;732279;659209;736834;838449;961516;959451;1007337;1377615;1392951;1308115
Philippines;252763;276026;340796;333661;389823;321985;402635;452817;1553143;530831;612105;735244;720957;713123;911768;1024536;895419;1265737;1109944;1058438
Australia;589969;719872;722021;947089;905408;793911;925018;970004;992154;881780;894737;815228;833103;904161;863379;824190;654430;886568;912798;768890
Tunisia;133493;125571;150403;268299;309796;293319;347971;396652;394525;434573;440495;370829;404807;460960;526170;550292;501480;611746;648769;759950
Argentina;932665;1147086;1224306;1202447;1478508;1225477;1346573;1536173;1390059;1287292;1293156;948926;973269;997654;1076334;835448;703380;1035468;1058106;751389
Croatia;277357;348301;381746;477245;553190;373854;483720;430630;248143;307384;373317;366974;386288;420879;486973;516120;511574;702150;771648;736179
Kuwait;891450;;1076812;1265082;713544;2413485;1655556;1831084;1736908;1592090;1088845;839258;685568;664082;811790;627122;577813;412128;582048;683730
Dominican Republic;72907;104327;150653;212041;227647;274178;147636;342804;309248;281980;375219;323521;355044;357788;339666;348066;398603;546028;703696;675832
Norway;358680;402547;419161;510809;549969;450838;459631;505134;495099;514750;535190;431711;440309;490716;499817;459662;447214;557240;645891;647438
Peru;110928;163706;185762;261344;310932;257490;356776;465873;706638;686237;569855;487190;442080;454008;517508;534470;542515;708923;713773;559349
Guatemala;98260;144722;99316;181294;210042;163913;209471;254270;283695;280137;298413;312956;310873;316392;325664;345272;367021;519796;601467;547913
Estonia;138932;182249;232230;296085;345751;246265;328266;413627;410454;440972;413565;341440;362097;407271;434548;435943;452360;561552;562033;533205
Costa Rica;140503;178769;163759;200849;224890;142989;231492;323217;373087;378261;389614;358082;347185;350069;367070;378905;354485;446930;466102;519988
El Salvador;85891;114023;135224;174869;215514;194083;241741;277197;303530;318562;332223;337040;318396;354461;334380;384169;366119;495911;603174;505530
Latvia;75150;102843;133244;169716;195690;158411;229206;282959;281505;307014;324587;270846;290981;338434;393554;386606;407292;554923;546444;472945
Azerbaijan;67073;71659;99870;70899;123096;60723;84509;123893;108827;122104;156979;112452;98975;101120;118593;179402;164628;442188;386216;460787
Bosnia and Herzegovina;24630;36852;67530;91510;99546;77877;83374;110351;125592;147812;162129;155563;174853;199589;244203;281093;299419;392812;434024;429883
Uzbekistan;;;;;;;;;;;;;;444955;454842;403013;324422;406596;410013;403668
Chile;235749;267472;340472;345152;419238;364834;444138;575416;530086;472372;475662;477776;366210;419859;429387;427271;364845;469456;453575;375954
Kazakhstan;10773;10443;15875;22235;37454;32212;43625;82524;114059;89473;113987;84432;80795;86869;107331;129481;118509;188428;257309;368789
Pakistan;151550;274048;213347;186524;296463;305797;408132;543883;520985;449789;361431;284130;267038;272403;309735;358253;342738;389171;424184;368415
Morocco;30402;48948;42087;82359;112343;89166;115842;123037;105624;105151;153080;139024;153551;180253;210153;241318;266216;315027;336830;363369
Cambodia;1984;1640;3734;2725;690;2106;8286;10709;15636;21592;19447;71703;120080;150147;195264;239545;308901;410794;395513;339152
Uruguay;100221;131749;150664;184823;223709;189435;239859;304132;304657;296232;284661;234724;197867;227117;261306;260767;242393;296275;352769;316011
Djibouti;;;;;;8528;;;;;;;;;;;;146153;299933;301609
Jordan;76085;113094;112223;127945;158819;138366;183457;233739;308732;347320;379511;316389;255416;270005;270425;242836;186387;250930;316835;299119
New Zealand;283175;323966;291586;327192;327356;272744;345491;386037;381124;390698;397615;342796;335770;337357;333378;318099;303626;339812;321313;294798
Ukraine;307420;384127;564661;704220;680201;396304;512150;764809;780070;600324;459590;342530;333950;465973;610121;635039;599785;980548;428044;277646
Belarus;331190;333907;458313;566846;656685;548321;738344;864630;1066528;1136869;1114653;877345;913193;1066304;1084526;1099023;1013680;1000688;255949;233267
Honduras;20346;21568;32617;68722;121207;91266;99783;62790;143692;61681;170434;127320;94179;100859;116790;43941;143770;51222;;222530
Bahrain;38930;53004;49225;56720;111238;80093;82805;111825;127419;161536;229806;273356;217092;186655;188160;206676;234883;299957;308930;221252
Macedonia, North;25414;27475;30693;46513;68755;61508;54494;78787;82016;97769;90446;77553;82928;92184;112257;118387;117472;177604;189715;189262
Ghana;1828;14776;175526;51688;31829;120233;63155;308319;68587;75392;192270;255577;308528;370320;204500;224401;;250892;187580;188772
Côte d'Ivoire;58197;50149;56765;71917;79940;150406;120269;112874;134703;159550;166236;174923;206496;225797;151651;133985;130340;149292;170251;175967
Panama;6003;5996;103805;111874;127112;103298;139133;159718;163440;193493;186308;145895;132451;119428;123671;124862;108454;150926;182237;165631
Bangladesh;28141;49382;41719;49145;59587;45981;58374;79323;88576;72214;;80222;83273;95394;109207;121053;108912;149936;202973;163006
Ecuador;34920;46273;58969;76954;85948;69300;97631;129881;146970;160622;172784;131329;117488;108415;123039;124330;108381;188416;241560;158709
Kenya;52208;78455;96513;102726;136087;114354;138875;166138;183679;174130;182264;163537;139218;129534;117668;110308;117989;139627;150755;154950
Togo;16510;34403;;3816;31935;45778;45587;65707;73684;72811;85573;88980;94992;81798;101415;104981;125922;123964;138390;125538
Lebanon;54720;72926;76396;107568;138954;116922;110772;122766;136869;137615;131439;126765;131762;147172;187532;149731;102413;116190;384331;103438
United States Minor Outlying Islands;1934;797;1510;3655;2225;3965;8768;1756;2079;1744;2170;1110;1339;1100;1405;1284;1056;2158;1066;90613
Malta;36792;39404;48620;62355;72617;50437;55917;68473;66651;65311;52071;58763;60231;77854;82529;98382;94384;90704;81452;87269
Paraguay;14407;19343;23599;32395;46973;56371;70209;99466;79575;85365;110465;90428;86142;97731;106068;107698;87445;93199;92798;85344
Trinidad and Tobago;29004;34759;38488;39601;40687;35271;28498;36368;36775;48486;42207;47221;49646;46567;50874;50182;47783;65262;103201;76430
Moldova, Republic of;6238;9751;13765;22105;24454;19934;17896;37570;35182;40497;31890;26798;23188;31238;40147;46143;37431;45353;68877;75962
Albania;1289;2924;5918;4648;9279;9851;9318;10795;8662;12972;14185;11757;15258;16092;19305;21797;18065;35716;65136;64695
Free Zones;64350;108781;134037;173049;201212;173010;227457;273641;534999;271139;293794;609389;593855;515553;532763;138720;56233;68167;83282;63384
Kyrgyzstan;11877;15862;18437;15608;7310;5946;8342;12319;14471;26640;19768;14501;10093;16303;18120;33455;39439;38887;49082;62951
Uganda;4386;3967;4932;8617;13431;11895;11747;20402;28473;34425;37077;34173;21712;24749;32374;33241;28524;49070;58406;60913
Sri Lanka;52832;59374;59828;56808;56776;39520;47524;54786;61242;54916;75903;73387;77320;84398;;77164;183065;85866;60940;56206
