Date;Hour;Open;High;Low;Close;Volume
2023.10.24;21:15;33082.7;33108.5;33063;33108.5;4052
2023.10.24;21:30;33108.6;33165.9;33108.6;33159.5;4553
2023.10.24;21:45;33159.8;33178.7;33147.2;33161.4;4204
2023.10.24;22:00;33160;33179.8;33136.2;33150;4436
2023.10.24;22:15;33150.5;33192.5;33150.5;33182.5;4352
2023.10.24;22:30;33182.4;33188.3;33158.8;33179.6;3855
2023.10.24;22:45;33178.3;33181.6;33117.4;33126.5;4688
2023.10.24;23:00;33123.4;33277.4;33114.5;33237.6;5014
2023.10.24;23:15;33238.8;33252.5;33210.6;33218.8;1826
2023.10.24;23:30;33218;33227.4;33214.8;33218.1;1132
2023.10.24;23:45;33217.4;33218.2;33196.2;33204;832
2023.10.25;01:00;33179.2;33209.8;33139.6;33168.2;1669
2023.10.25;01:15;33167.7;33186.5;33161.6;33185;921
2023.10.25;01:30;33185.1;33192.3;33173.1;33191;692
2023.10.25;01:45;33190.8;33207.4;33184.5;33200.7;739
2023.10.25;02:00;33198.6;33212.5;33196.7;33205.5;561
2023.10.25;02:15;33205.2;33207.1;33193.2;33194.2;510
2023.10.25;02:30;33193.9;33210.4;33193.9;33209;581
2023.10.25;02:45;33208.8;33213.8;33205.3;33208.8;523
2023.10.25;03:00;33208.9;33209.4;33185;33187.8;1428
2023.10.25;03:15;33187.4;33205.6;33184.2;33190.1;1213
2023.10.25;03:30;33190.7;33196.2;33172.4;33185.7;1661
2023.10.25;03:45;33185.6;33193.1;33184;33190.3;991
2023.10.25;04:00;33190.5;33203.1;33185.6;33193.2;1142
2023.10.25;04:15;33193.3;33211.1;33193.2;33197.3;1129
2023.10.25;04:30;33197.8;33204.3;33188.7;33199;1248
2023.10.25;04:45;33199.4;33211.1;33190.4;33210.3;1067
2023.10.25;05:00;33209.8;33211.9;33201.9;33205;861
2023.10.25;05:15;33205.8;33214.2;33200;33211.3;837
2023.10.25;05:30;33210.6;33211.9;33196.2;33202.6;593
2023.10.25;05:45;33202.5;33208.4;33199.9;33204;662
2023.10.25;06:00;33204.4;33210.9;33180.8;33182.9;748
2023.10.25;06:15;33182.8;33186.4;33173.7;33176.6;864
2023.10.25;06:30;33177;33187.7;33176.7;33177.9;771
2023.10.25;06:45;33178.1;33182.4;33171.4;33173.2;681
2023.10.25;07:00;33173.3;33177.4;33168.4;33176.1;560
2023.10.25;07:15;33176;33176.4;33167.4;33174.3;495
2023.10.25;07:30;33174.1;33178.2;33168.8;33177.4;534
2023.10.25;07:45;33177.7;33180.3;33174;33178.3;446
2023.10.25;08:00;33178.4;33184;33174.5;33179.2;858
2023.10.25;08:15;33179.7;33181.4;33162.7;33164.4;829
2023.10.25;08:30;33164.2;33164.4;33135.1;33146.8;1459
2023.10.25;08:45;33147.1;33157.6;33142.6;33151.8;1108
2023.10.25;09:00;33152.2;33157.7;33136.8;33141.9;1376
2023.10.25;09:15;33142;33188.5;33141.3;33179.2;1779
2023.10.25;09:30;33179;33182;33159.9;33167.6;1281
2023.10.25;09:45;33167.4;33170.7;33135.2;33136.2;1385
2023.10.25;10:00;33136;33149.3;33128.8;33133.8;3097
2023.10.25;10:15;33133.4;33134.7;33095.2;33121.1;3082
2023.10.25;10:30;33120.6;33121.8;33102.3;33110.1;2633
2023.10.25;10:45;33109.6;33138.4;33106.1;33137.1;2063
2023.10.25;11:00;33137.2;33162;33125.5;33146;2550
2023.10.25;11:15;33145.9;33174.3;33100.7;33173.7;2897
2023.10.25;11:30;33173.6;33179.7;33135.4;33176.1;2480
2023.10.25;11:45;33175.7;33186.4;33140.7;33173.7;2565
2023.10.25;12:00;33173.8;33175.9;33131.6;33143.3;2351
2023.10.25;12:15;33143.1;33189.7;33140.8;33186.4;1992
2023.10.25;12:30;33187;33195.3;33140.4;33147.4;2188
2023.10.25;12:45;33147;33165.7;33118.1;33145.9;2110
2023.10.25;13:00;33145.3;33170.6;33113.1;33131.8;2561
2023.10.25;13:15;33132;33160;33124.4;33159.7;2394
2023.10.25;13:30;33160;33188.8;33156.2;33188.8;1816
2023.10.25;13:45;33187.9;33187.9;33168;33185.8;1412
2023.10.25;14:00;33184.6;33192.5;33176.1;33187.2;1523
2023.10.25;14:15;33187.3;33195.3;33171.2;33180.9;1554
2023.10.25;14:30;33180.8;33209.7;33157.6;33204.3;1935
2023.10.25;14:45;33204;33206.1;33190.9;33201.6;1317
2023.10.25;15:00;33201.1;33235.9;33200.7;33235;1818
2023.10.25;15:15;33234.4;33237.6;33218.3;33219.2;1958
2023.10.25;15:30;33218.2;33230.6;33186.8;33190.2;2430
2023.10.25;15:45;33189.9;33204.4;33174.8;33178.2;2372
2023.10.25;16:00;33177.4;33210.1;33173.6;33196.8;2174
2023.10.25;16:15;33197.5;33227.5;33186.3;33209.2;2368
2023.10.25;16:30;33208;33229.5;33113.8;33119.1;6879
2023.10.25;16:45;33118.8;33118.8;33026.2;33067.5;5922
2023.10.25;17:00;33064.2;33064.2;32973;33002.7;6235
2023.10.25;17:15;33002.8;33011.5;32973;32981.7;5882
2023.10.25;17:30;32979.5;33079.7;32963.7;33056.3;5992
2023.10.25;17:45;33056.6;33123;33047.8;33089.1;5816
2023.10.25;18:00;33089.3;33188.6;33085.4;33187.9;6054
2023.10.25;18:15;33187.1;33244.3;33162.5;33225.9;5560
2023.10.25;18:30;33225.8;33234.1;33174;33211.8;5731
2023.10.25;18:45;33212;33254.5;33172.6;33176.6;5652
2023.10.25;19:00;33176.1;33176.1;33092.8;33108.3;5385
2023.10.25;19:15;33108;33145.9;33095.9;33112.9;4893
2023.10.25;19:30;33114.8;33160.8;33076.9;33122;4978
2023.10.25;19:45;33122.1;33130.7;33052.6;33071.9;4968
2023.10.25;20:00;33070.4;33088.6;33032.6;33069.2;5217
2023.10.25;20:15;33068.4;33083.4;33021.8;33031.5;5553
2023.10.25;20:30;33029.2;33034.4;33002.6;33011.3;5149
2023.10.25;20:45;33010.5;33029.3;32974.1;33026;4908
2023.10.25;21:00;33025.8;33049.1;33001.6;33041.6;4909
2023.10.25;21:15;33041.2;33059.6;33011.9;33020.4;4799
2023.10.25;21:30;33020.5;33044.5;32998.4;33001.9;4910
2023.10.25;21:45;33001.2;33063.1;32992;33028.3;4841
2023.10.25;22:00;33029;33040;32995.7;33012.6;4779
2023.10.25;22:15;33012.7;33069.1;33010.6;33052.2;4824
2023.10.25;22:30;33053.3;33083.8;33027.7;33030.9;5005
2023.10.25;22:45;33030.8;33069.3;33006.6;33019.4;5332
2023.10.25;23:00;33022.8;33082.2;33020.3;33075.4;3643
2023.10.25;23:15;33073.4;33099.3;33058.6;33066.9;2522
2023.10.25;23:30;33067.6;33073.3;33048.5;33056.5;1660
2023.10.25;23:45;33056.4;33066.6;33047.1;33047.8;945
2023.10.26;01:00;33040.1;33049.4;32978.1;32992.5;1867
2023.10.26;01:15;32991.8;33026.1;32975.5;33008.9;1660
2023.10.26;01:30;33008.8;33017.1;32999.7;33013.9;1117
2023.10.26;01:45;33012.9;33015.6;33001;33009.2;799
2023.10.26;02:00;33008.5;33012.1;32994.5;32995.5;832
2023.10.26;02:15;32995.9;32999.8;32957.7;32980.1;1271
2023.10.26;02:30;32980.7;32992.8;32978;32989.9;774
2023.10.26;02:45;32989.5;32991.9;32981.3;32989.7;834
2023.10.26;03:00;32989.6;33020.2;32987.8;32999;1495
2023.10.26;03:15;32998.6;32999.7;32985.6;32996;1214
2023.10.26;03:30;32995.3;32997;32974.3;32978.6;1221
2023.10.26;03:45;32978.9;32979.9;32943;32950.4;1531
2023.10.26;04:00;32950.6;32960.5;32948;32951.4;1288
2023.10.26;04:15;32951.2;32965.7;32942.7;32948.1;1576
2023.10.26;04:30;32949.7;32980.5;32945;32977.5;1630
2023.10.26;04:45;32977.1;32977.4;32942.6;32956.5;1452
2023.10.26;05:00;32956.7;32962.6;32940.7;32943.4;1354
2023.10.26;05:15;32943.6;32952.5;32913.8;32918.3;1491
2023.10.26;05:30;32918;32939.7;32917.4;32937.4;1003
2023.10.26;05:45;32937.6;32946;32930;32931.6;900
2023.10.26;06:00;32931.4;32944.1;32930.3;32938.2;770
2023.10.26;06:15;32938.8;32943.6;32937;32941.5;526
2023.10.26;06:30;32941.9;32962.7;32938.5;32955.6;892
2023.10.26;06:45;32955.8;32959.3;32948.9;32950.2;723
2023.10.26;07:00;32950.8;32955.6;32945.5;32945.7;653
2023.10.26;07:15;32945.6;32947.3;32927.7;32932.4;897
2023.10.26;07:30;32932.5;32944.4;32931.7;32934;843
2023.10.26;07:45;32933.6;32943.1;32931;32938.3;697
2023.10.26;08:00;32938.4;32963.5;32936.9;32942.2;1252
2023.10.26;08:15;32942.5;32949.9;32932.1;32936.3;998
2023.10.26;08:30;32936.6;32946.2;32929.5;32936.6;1073
2023.10.26;08:45;32936.4;32951.1;32930.9;32932.5;1153
2023.10.26;09:00;32933.3;32940.5;32911.4;32939.2;1600
2023.10.26;09:15;32938.8;32961.4;32937.4;32952.2;1380
2023.10.26;09:30;32951.7;32958.2;32938.7;32939.7;1244
2023.10.26;09:45;32940.1;32952.7;32928.3;32930.4;1615
2023.10.26;10:00;32930.1;32931.3;32875.8;32889.9;3691
2023.10.26;10:15;32887.6;32917.9;32886.8;32890.6;3210
2023.10.26;10:30;32891.1;32920.5;32874.3;32917.4;3035
2023.10.26;10:45;32917.6;32953.7;32916.7;32929.1;2858
2023.10.26;11:00;32928.3;32953.6;32917;32949.9;2830
2023.10.26;11:15;32949.8;32950.1;32894.6;32895.6;2437
2023.10.26;11:30;32895.7;32918.1;32893.1;32900.4;2236
2023.10.26;11:45;32899.7;32910.5;32891.2;32904.1;1850
2023.10.26;12:00;32903.5;32932.5;32893.8;32901.1;2244
2023.10.26;12:15;32901;32954;32886.4;32946.8;2396
2023.10.26;12:30;32945.4;32959.2;32941.1;32944.3;1824
2023.10.26;12:45;32943.8;32951.7;32916.2;32924.7;1856
2023.10.26;13:00;32925.2;32935.1;32900.9;32934.8;1974
2023.10.26;13:15;32933.8;32951.9;32932.1;32938.1;1664
2023.10.26;13:30;32937.9;32949.7;32899.6;32907.1;2162
2023.10.26;13:45;32907.3;32907.6;32875.4;32880.8;1908
2023.10.26;14:00;32881.6;32881.6;32837.9;32842.8;2474
2023.10.26;14:15;32842.9;32859.7;32830.9;32851.2;2000
2023.10.26;14:30;32850.9;32871.8;32832.1;32867.6;2193
2023.10.26;14:45;32868.1;32895.1;32868.1;32890.7;2063
2023.10.26;15:00;32890.6;32897.4;32877.4;32888.5;2156
2023.10.26;15:15;32889.2;32917.3;32879.6;32901;3195
2023.10.26;15:30;32897.5;32980.3;32858.5;32974.5;4792
2023.10.26;15:45;32974;33044.3;32970.2;33034.3;4287
2023.10.26;16:00;33037.2;33046.1;33007.8;33036.1;3725
2023.10.26;16:15;33035.7;33041;32981;32988.9;3512
2023.10.26;16:30;32992.6;33074;32968.4;33052.8;6911
2023.10.26;16:45;33052.2;33075.5;32993.9;32998;6485
2023.10.26;17:00;32994.5;32994.5;32919.5;32945.9;6433
2023.10.26;17:15;32946.9;32997.9;32927.7;32964.1;6229
2023.10.26;17:30;32962.1;32980.7;32899.1;32978.6;5780
2023.10.26;17:45;32978.3;33049.9;32960.1;33028.2;5888
2023.10.26;18:00;33028.3;33051.6;32873.1;32876.3;6106
2023.10.26;18:15;32878.1;32897.6;32848.8;32866.6;5761
2023.10.26;18:30;32868.5;32913.7;32850.4;32884.8;5341
2023.10.26;18:45;32885;32917.7;32883.3;32885.1;5102
2023.10.26;19:00;32884.7;32884.9;32801.2;32826.1;5035
2023.10.26;19:15;32826;32826;32766.1;32818.6;5284
2023.10.26;19:30;32818.2;32840.8;32781.9;32793.1;5163
2023.10.26;19:45;32793.3;32805.6;32761.4;32765.8;4972
2023.10.26;20:00;32766.6;32824.9;32744.8;32787.1;5190
2023.10.26;20:15;32786;32809.1;32737;32751.8;5001
2023.10.26;20:30;32752.3;32801.6;32706.8;32793;4771
2023.10.26;20:45;32791.5;32837.1;32784.6;32829.1;4654
2023.10.26;21:00;32829.9;32880.4;32810;32875.9;4804
2023.10.26;21:15;32879.5;32890;32840.8;32885.9;4756
2023.10.26;21:30;32885;32935.1;32866.1;32905;5083
2023.10.26;21:45;32906.3;32968.9;32899.7;32968.1;4889
2023.10.26;22:00;32965.8;32993.3;32895.1;32903;5104
2023.10.26;22:15;32903.5;32920.9;32854.2;32857.6;4897
2023.10.26;22:30;32858.2;32868.3;32763.3;32764.2;5435
2023.10.26;22:45;32764.3;32804.7;32732.5;32752.7;5635
2023.10.26;23:00;32752.6;32803.2;32709.4;32793.7;4187
2023.10.26;23:15;32790.4;32801.9;32770.8;32799.9;1300
2023.10.26;23:30;32799.3;32802.2;32764.2;32774.6;1374
2023.10.26;23:45;32775;32793.7;32765.9;32788.1;1092
2023.10.27;01:00;32828.3;32834.2;32809.7;32831.7;1072
2023.10.27;01:15;32831.4;32835.3;32821.5;32821.5;836
2023.10.27;01:30;32821.3;32833;32819.9;32832.7;674
2023.10.27;01:45;32832.2;32837;32827.4;32835;430
2023.10.27;02:00;32835.1;32856.7;32835;32852.6;629
2023.10.27;02:15;32852.4;32857.7;32847.3;32849.7;628
2023.10.27;02:30;32850.4;32851.3;32843;32850.8;540
2023.10.27;02:45;32850.6;32867.5;32848.9;32862.5;853
2023.10.27;03:00;32860.2;32860.4;32828.5;32833.5;1396
2023.10.27;03:15;32833.6;32839.5;32818.6;32828;1233
2023.10.27;03:30;32828.9;32842;32811.8;32828;1131
2023.10.27;03:45;32828.1;32838.7;32824.2;32824.4;991
2023.10.27;04:00;32822.7;32839.7;32818.7;32827.4;1076
2023.10.27;04:15;32827.7;32843.6;32823.8;32836;1159
2023.10.27;04:30;32835.8;32855.3;32829.1;32853.9;1407
2023.10.27;04:45;32854;32864.4;32851.4;32856.7;1228
2023.10.27;05:00;32856.8;32870.4;32856.8;32869.7;1128
2023.10.27;05:15;32869.8;32880.2;32865.6;32872.8;1047
2023.10.27;05:30;32872.9;32881.7;32864.4;32864.9;821
2023.10.27;05:45;32863.6;32864.7;32852.6;32855.1;740
2023.10.27;06:00;32855.2;32860;32841.5;32843.7;745
2023.10.27;06:15;32843.3;32844.8;32839.5;32843.3;715
2023.10.27;06:30;32843.8;32844;32832.3;32835.3;808
2023.10.27;06:45;32835.2;32851.4;32833;32850.8;716
2023.10.27;07:00;32851;32854.1;32845.5;32851.3;795
2023.10.27;07:15;32851.4;32858.6;32851;32852;562
2023.10.27;07:30;32851.9;32868.7;32851.8;32868.2;588
2023.10.27;07:45;32868.3;32875.2;32862.6;32873;618
2023.10.27;08:00;32872.9;32874.4;32855.6;32859;1079
2023.10.27;08:15;32859.1;32868.1;32858.7;32867.4;935
2023.10.27;08:30;32867.5;32873.7;32855.2;32864.7;994
2023.10.27;08:45;32865;32869.7;32862.2;32866.3;958
2023.10.27;09:00;32865.5;32866.3;32847.2;32853.5;1367
2023.10.27;09:15;32853.4;32860.1;32835.4;32840;1165
2023.10.27;09:30;32840.5;32851.8;32836;32842.3;930
2023.10.27;09:45;32842.5;32852.9;32827.9;32828.1;1137
2023.10.27;10:00;32828.4;32832.8;32782.9;32785.7;3156
2023.10.27;10:15;32785;32813;32781.8;32787.7;2762
2023.10.27;10:30;32787.3;32819.2;32781.8;32818.4;2393
2023.10.27;10:45;32818.1;32820;32803.6;32812.5;2043
2023.10.27;11:00;32810.9;32834;32805.7;32829.5;2325
2023.10.27;11:15;32829.3;32851.1;32827.4;32848.2;2047
2023.10.27;11:30;32848.1;32869.5;32844.6;32866.2;1949
2023.10.27;11:45;32866;32874.5;32852.4;32870;1832
2023.10.27;12:00;32870.1;32883;32841.4;32844.6;1970
2023.10.27;12:15;32845.9;32851.9;32835.3;32835.7;1750
2023.10.27;12:30;32836;32841.5;32813.6;32816;1674
2023.10.27;12:45;32816.3;32820.8;32809.6;32818.3;1601
2023.10.27;13:00;32819.5;32838.1;32815.8;32838.1;1432
2023.10.27;13:15;32838.6;32838.6;32799.7;32805.1;1428
2023.10.27;13:30;32802;32802.9;32785.2;32798.3;1455
2023.10.27;13:45;32798.6;32800.6;32763.4;32763.7;1381
2023.10.27;14:00;32763.5;32778.1;32720.2;32729.2;2377
2023.10.27;14:15;32728.6;32728.6;32687.7;32697;2367
2023.10.27;14:30;32696.5;32697;32658.9;32665.1;2256
2023.10.27;14:45;32665.2;32680.3;32661.8;32670.9;2185
2023.10.27;15:00;32671.4;32715.4;32667;32713.5;2438
2023.10.27;15:15;32713.3;32744.7;32712.6;32737.9;1973
2023.10.27;15:30;32737.4;32770.4;32708.2;32755.1;3171
2023.10.27;15:45;32754.7;32793;32743.6;32756.3;3343
2023.10.27;16:00;32757.7;32795.1;32757.1;32769.5;2622
2023.10.27;16:15;32769.4;32798.2;32756;32757.7;2849
2023.10.27;16:30;32755.3;32758.5;32668.1;32686.7;6866
2023.10.27;16:45;32687;32707.7;32640.5;32689.1;5901
2023.10.27;17:00;32690.3;32738.3;32628.6;32718.8;6482
2023.10.27;17:15;32717.8;32723.1;32628.4;32632.3;6167
2023.10.27;17:30;32632.1;32676.7;32562.8;32589.5;6046
2023.10.27;17:45;32592.6;32675.5;32582.6;32669.2;5807
2023.10.27;18:00;32667.6;32706.8;32643.9;32704.6;5704
2023.10.27;18:15;32704.7;32721.3;32660.7;32672.5;5323
2023.10.27;18:30;32673.2;32677.9;32606.8;32609.7;5502
2023.10.27;18:45;32609.8;32631.4;32578.7;32622;5074
2023.10.27;19:00;32622.6;32624.4;32575.5;32587.5;5298
2023.10.27;19:15;32586.5;32613.9;32531.7;32564.9;5045
2023.10.27;19:30;32568.4;32599.9;32542.5;32574;4701
2023.10.27;19:45;32574.5;32577.6;32517.5;32525.5;4677
2023.10.27;20:00;32526.5;32548.6;32448.7;32457.9;5037
2023.10.27;20:15;32459.9;32486.4;32422.2;32454.7;5517
2023.10.27;20:30;32455.7;32472.3;32420.2;32447.7;5324
2023.10.27;20:45;32448.8;32453.2;32404.3;32417.8;5298
2023.10.27;21:00;32417.4;32428.1;32371.5;32405.7;5391
2023.10.27;21:15;32404.8;32448.4;32350.6;32365.5;5284
2023.10.27;21:30;32364.7;32431.7;32352.7;32425.6;5195
2023.10.27;21:45;32425.7;32440.6;32291.3;32311.6;5309
2023.10.27;22:00;32312.7;32351.2;32296.3;32336.3;5243
2023.10.27;22:15;32334.9;32372.8;32305.5;32367.5;4951
2023.10.27;22:30;32367.1;32384.6;32285.6;32295.8;5478
2023.10.27;22:45;32295.5;32394.5;32292.4;32382.2;5735
2023.10.27;23:00;32383.1;32394;32348.2;32352.2;3024
2023.10.27;23:15;32354.1;32363.3;32350.4;32359.7;896
2023.10.27;23:30;32359.5;32374.4;32359.3;32371.6;755
2023.10.27;23:45;32370.9;32375.4;32367.7;32368.6;652
2023.10.30;01:00;32439.1;32449.8;32401;32430.1;1427
2023.10.30;01:15;32429.8;32454.5;32422.2;32453.8;900
2023.10.30;01:30;32452.3;32466.1;32438.6;32444.5;802
2023.10.30;01:45;32444.8;32462.3;32442.4;32450.7;604
2023.10.30;02:00;32450.8;32453.1;32426.3;32429.6;970
2023.10.30;02:15;32429.8;32445;32429.7;32443;572
2023.10.30;02:30;32442.9;32445;32433.6;32440.5;581
2023.10.30;02:45;32440.6;32447.3;32438.2;32445.3;554
2023.10.30;03:00;32444.2;32471;32442.1;32468.3;1568
2023.10.30;03:15;32467.7;32474.1;32458.4;32463.4;1168
2023.10.30;03:30;32462.8;32470.8;32453.9;32462.5;1308
2023.10.30;03:45;32462.2;32489.1;32458.4;32488.8;1015
2023.10.30;04:00;32488.3;32489.6;32474.2;32474.2;1366
2023.10.30;04:15;32474.3;32474.7;32457.3;32459.3;1394
2023.10.30;04:30;32459.4;32485.7;32459.4;32484.4;1700
2023.10.30;04:45;32484.2;32489.4;32473;32483.7;1238
2023.10.30;05:00;32482.9;32483.7;32455.3;32460.5;1225
2023.10.30;05:15;32460.6;32474.2;32458.9;32468.2;1062
2023.10.30;05:30;32467.9;32471;32461.8;32462.7;769
2023.10.30;05:45;32462.8;32465.6;32457.9;32463.5;827
2023.10.30;06:00;32463.9;32469.1;32456.2;32462.3;876
2023.10.30;06:15;32462.1;32476.4;32457.4;32475;905
2023.10.30;06:30;32474.7;32477;32467.6;32470.2;917
2023.10.30;06:45;32470.3;32474.7;32467.2;32470.4;600
2023.10.30;07:00;32470.2;32470.6;32457;32458.2;549
2023.10.30;07:15;32458;32460;32455.9;32456;591
2023.10.30;07:30;32455.8;32462.1;32447.8;32461.3;683
2023.10.30;07:45;32461.4;32464.8;32459.1;32459.1;543
2023.10.30;08:00;32460.3;32464.7;32455.4;32462.8;1001
2023.10.30;08:15;32462.9;32476.1;32462.9;32471.8;953
2023.10.30;08:30;32471.9;32475.3;32468.8;32472.7;680
2023.10.30;08:45;32472.8;32477.4;32471.5;32476.3;623
2023.10.30;09:00;32476.7;32491.3;32476;32486.4;776
2023.10.30;09:15;32486.3;32496.6;32485.1;32496.5;631
2023.10.30;09:30;32495.7;32512.2;32494.3;32508.7;886
2023.10.30;09:45;32507.4;32511.2;32499.7;32509.8;662
2023.10.30;10:00;32509;32515.4;32495.2;32507.3;1549
2023.10.30;10:15;32507.8;32513.8;32497.2;32506.5;1012
2023.10.30;10:30;32506.4;32527.6;32506;32519.2;1420
2023.10.30;10:45;32518.6;32544.3;32518.1;32525.7;1362
2023.10.30;11:00;32525.9;32546;32513.7;32544.8;3158
2023.10.30;11:15;32545;32556.7;32523;32547;2727
2023.10.30;11:30;32547.3;32547.3;32517.6;32519.2;2274
2023.10.30;11:45;32519.4;32541.3;32502.3;32534.1;1993
2023.10.30;12:00;32531.9;32583.6;32531.5;32569.7;2308
2023.10.30;12:15;32569.3;32578.6;32550.8;32557;1920
2023.10.30;12:30;32557.2;32565.4;32535.9;32553.2;1921
2023.10.30;12:45;32553.6;32566.3;32549;32561;1436
2023.10.30;13:00;32561.3;32576.3;32558.7;32559.4;1410
2023.10.30;13:15;32559.9;32576.5;32544.7;32558.9;1652
2023.10.30;13:30;32559.6;32568.9;32548.8;32568.6;1444
2023.10.30;13:45;32568.9;32584.6;32558.2;32564;1550
2023.10.30;14:00;32562.7;32611;32561.4;32579.1;1901
2023.10.30;14:15;32578.9;32594.3;32571.6;32575.6;1464
2023.10.30;14:30;32576;32609.5;32575.7;32608.7;1579
2023.10.30;14:45;32607.7;32622.1;32599.4;32602.8;1623
2023.10.30;15:00;32602.9;32607.4;32578.9;32582.5;1931
2023.10.30;15:15;32582.3;32594.5;32572.3;32576.6;1728
2023.10.30;15:30;32576.8;32597;32567.7;32593;1815
2023.10.30;15:45;32592.1;32597;32567.2;32590.7;1853
2023.10.30;16:00;32590.9;32617.2;32578.8;32612.6;2136
2023.10.30;16:15;32612.7;32629.4;32605.7;32619.4;2416
2023.10.30;16:30;32619.1;32714.7;32617.6;32692.7;6821
