Importers;Imported value in 2004;Imported value in 2005;Imported value in 2006;Imported value in 2007;Imported value in 2008;Imported value in 2009;Imported value in 2010;Imported value in 2011;Imported value in 2012;Imported value in 2013;Imported value in 2014;Imported value in 2015;Imported value in 2016;Imported value in 2017;Imported value in 2018;Imported value in 2019;Imported value in 2020;Imported value in 2021;Imported value in 2022;Imported value in 2023
Bahrain;90232;123984;106614;162776;243379;168230;191892;258293;300005;271309;362265;378881;353690;358332;385055;345871;379828;447788;451904;373218
Moldova, Republic of;79398;114184;137135;178364;213452;144588;171723;217883;220163;238509;253858;195597;196109;230512;273610;279418;284718;370075;371927;352172
Albania;56698;70050;88258;116322;156387;148615;145979;161380;157421;165306;171269;157446;183314;209852;241226;210804;213616;309259;316304;334713
Nepal;;;;;;167565;160534;232178;187784;259792;277748;252274;335552;372239;461013;454998;370245;626865;532584;331681
Lao People's Democratic Republic;;;;;;;39510;50478;47498;80925;92865;81293;67113;111871;133134;175066;164216;188596;299050;323793
Zimbabwe;114408;101392;67754;84338;42230;83711;133097;176439;184916;203289;209913;203353;183205;176279;271546;184026;194449;298617;382190;322221
Syrian Arab Republic;1843447;601687;658732;892139;1095390;1020849;1055634;1190127;618589;262486;247522;276115;278658;298963;385009;364436;285171;329024;610783;305749
Senegal;86104;98135;110420;141557;158290;136315;81883;138138;166758;190535;195115;172866;168949;192905;227106;224507;233071;254990;351027;301213
Djibouti;;;;;;27252;;;;;;;;;;;;182817;280303;299091
Cyprus;157435;170247;185891;235339;290696;213569;221590;230895;190097;157267;169910;149218;164656;190539;219632;217811;218901;265273;306207;294493
Jamaica;130699;159201;173865;179338;183355;153277;160776;168184;176062;181269;186058;191230;179825;199494;213948;223948;205675;233375;290744;275544
Kyrgyzstan;36201;37515;49484;56079;65403;56191;73128;107397;138378;177945;173072;120053;132727;133481;168056;154186;132464;194695;302404;261441
Afghanistan;;;;;8803;4382;14740;20262;58973;65207;36257;17140;7146;77471;115969;114448;260763;209286;265912;260557
Trinidad and Tobago;125101;158550;177810;199775;216903;170274;181749;195972;231663;238790;250992;251531;238949;230671;249010;226132;203653;266276;329902;256868
Iceland;111169;144891;158425;192552;173599;102755;111536;129444;127464;134715;147503;135132;150216;173144;186332;176430;170008;226843;247865;251237
Guinea;21809;16621;17927;13478;20559;22983;31737;25846;38865;36461;40162;45508;52229;136589;126570;156989;183513;206928;237453;247197
Armenia;21924;29043;55410;101890;139685;99311;109459;126555;119744;123459;128863;96709;89838;109234;142384;148059;134318;161726;234426;245308
Malta;138283;152285;159781;203421;215907;157646;185196;213636;192834;198537;188181;178985;165641;182849;195666;192700;193483;214093;240698;244193
Sudan;;;;;;;;;301384;287545;350657;392161;344014;426816;357614;452628;456933;455699;545116;230872
Mozambique;36298;37106;44842;51736;81465;77998;62763;110317;112289;190131;182449;164126;130762;124889;153315;200163;165612;219231;230089;224579
Korea, Democratic People's Republic of;60359;84016;84819;63083;85963;77971;89765;116613;142036;155752;199180;175202;189905;233801;221961;273567;36031;36237;117514;211707
Togo;5283;3970;;8245;58821;52773;62216;101565;102900;124725;122760;128313;125931;128857;113790;152623;147066;183816;213459;199409
Haiti;;;;;;;;;;113261;112677;95425;105783;77300;186295;169243;201743;242216;230607;194440
Mongolia;10552;14929;19800;36997;;;52994;106941;118963;120445;119726;84448;76022;95945;126634;138693;121676;144655;213391;190616
Mali;25581;33863;36771;49389;60572;;106530;73214;74247;;;;89619;95860;113361;108693;117092;157298;152214;185578
Cuba;181637;239105;220555;;;;;;;;;;369270;332063;340820;341841;248965;252426;314649;176887
Malawi;32251;34638;41127;51012;63551;67453;81371;89530;112834;111743;117009;102917;88058;96561;120025;115690;115516;173549;170035;176784
Tajikistan;;;;;;;;;;;66777;62327;70411;76045;84924;102315;96619;109722;174312;175690
Namibia;61927;69562;75639;91777;103640;136501;170808;224578;151535;158363;186926;186886;156798;164723;197364;205209;174553;232753;226349;171935
Turkmenistan;34411;46475;55388;70903;115851;134595;169906;202531;258641;320385;383031;269606;194086;165362;133902;142054;91245;120292;175949;169975
Mauritius;86310;94065;94521;113061;125099;101054;128957;144846;149684;139017;145230;120600;125698;129366;162654;156650;118939;155599;179314;162491
Botswana;76452;75995;77085;103641;108895;102787;106713;120923;140688;120542;136352;117777;110708;99312;121033;135118;119895;168154;173484;154166
Papua New Guinea;30708;;;;;;;135911;167350;;;;;;;126639;113869;136549;172329;150121
Madagascar;46387;47309;54591;69274;101575;61231;74184;85180;73796;77202;103283;94090;113949;121388;129780;132584;110813;147404;185499;143123
Somalia;2706;6501;6848;12720;14517;9816;11234;15025;32777;30519;35140;46902;77358;73932;92385;109533;129813;152222;149165;142236
Bahamas;68845;82931;110634;113955;120048;108455;90670;140115;120366;135668;155198;132747;82689;113660;143568;104564;80742;125584;180245;140202
Congo;;;;36525;17577;23901;22018;30366;35779;57083;76127;85016;81392;43011;47199;45019;35855;45045;69862;137785
Guyana;23098;30329;30869;36377;38057;39733;45603;53254;55046;55619;54228;52650;51390;56273;65205;112062;66765;89552;103208;126013
Montenegro;;;44971;77821;102789;68380;61336;65664;63432;69524;72611;61114;66879;68253;80814;81177;68157;79390;97597;111747
Sierra Leone;;;;;;;;;;;69430;60254;35676;36241;56501;114924;58199;95217;106163;106761
Fiji;54017;68794;67193;72056;78211;49686;65582;73232;75054;82962;101233;69970;97636;97841;115122;93959;78172;107300;146266;106694
Burkina Faso;24893;28219;35477;37265;39271;43258;49089;60769;77322;76105;80597;68945;73595;77978;111723;100919;95378;116711;108685;101168
Free Zones;65523;110947;131482;159129;145568;114894;155786;163685;265956;115976;121623;301606;288714;254396;294484;111851;73301;132281;132122;97189
Gabon;18825;30784;34443;43849;53736;52969;65626;74420;85690;97878;88383;68459;85557;62549;71457;67464;65050;67577;82900;93764
Maldives;14810;22597;24314;32935;34406;24152;25603;36330;34492;35705;49734;56697;65555;76027;96449;84748;62098;71522;100671;82910
Macao, China;43479;52269;61559;67632;59070;43255;45234;50509;57105;59667;73042;77563;72285;74766;74697;74154;71726;96402;94059;81502
Eswatini;57842;53257;47331;54723;50649;53352;68408;68447;67957;72808;72146;67963;62585;70590;75094;69900;63068;93077;90173;78785
Rwanda;9461;12958;14055;17029;28207;34820;39538;34468;44463;39991;50821;59068;69508;69619;79901;86188;103877;128118;115341;71153
Brunei Darussalam;34119;38126;33917;37985;35979;43035;56433;62460;61790;101269;67695;61656;55386;45391;42277;52224;52903;52914;59302;69746
Barbados;46953;56730;60220;58495;62815;51802;51408;54038;51798;57773;57280;55520;54565;52866;56698;50562;55674;69219;91787;68895
Benin;13699;12022;17849;18059;23355;23765;27926;28237;28351;29606;37489;31927;30367;28747;41034;35731;50179;61205;67248;67081
Mauritania;12041;12429;;18365;23542;36243;21322;32730;46712;48150;38839;45247;45503;39296;105893;50644;45829;50770;47645;60442
Suriname;28202;37378;;40388;;51201;54428;62850;63195;73331;63359;75502;46707;58440;75741;74020;50355;45995;61401;58205
Palestine, State of;;;;61555;65973;72679;100681;141754;149964;164635;198934;216136;217182;232730;255003;253304;238285;327337;324066;53989
Liberia;;;;;;;;;;;;;;36979;35782;43760;39230;66402;61298;51240
South Sudan;;;;;;;;;8625;15652;24626;14771;11660;11993;29940;31141;37823;43488;53289;50978
New Caledonia;39374;52335;56394;49563;67766;61234;79657;84872;77328;74090;74052;68668;49844;46081;51765;47872;47271;52982;50982;49159
Belize;15610;14637;20410;20926;22701;19720;19503;20893;22229;25083;31762;39945;38219;34038;32190;34529;26699;39255;48520;48064
French Polynesia;42631;46590;45751;47494;59031;47175;47657;45018;48977;48877;47832;41754;44301;49832;53644;52786;52434;61140;67123;46229
Faroe Islands;16720;16943;20845;24900;26047;20280;18416;22396;22972;26219;29045;24330;25453;28037;32999;34666;35487;42341;50978;44118
Lesotho;;9602;14225;15746;13336;22212;46079;56629;102933;96178;66787;45226;31898;35112;29085;26832;28296;36575;35227;42249
Bhutan;;9735;11606;10620;12684;11202;16627;21037;22737;;;;25163;28236;30379;28959;22477;33158;40757;41259
Aruba;;21829;24338;27642;25634;23601;21666;25527;25485;27550;29672;27971;28218;29548;33464;35229;28170;30573;36053;37748
Curaçao;;;;;;;;;;;;;;36017;34232;35040;30636;34267;42657;36723
Equatorial Guinea;6110;9527;13088;19172;31566;35578;44573;45506;56851;54495;49839;36307;26649;19552;24233;26149;26616;28381;37898;35411
Burundi;2120;5883;6437;5008;5964;6495;9224;12489;19844;19892;10868;12039;17408;17062;21847;19438;22235;31665;39079;34473
Bermuda;;;;;;;;;20875;23304;21950;23677;25194;27732;28713;27645;29080;32023;37128;34236
Andorra;20279;;20468;23787;24885;21448;19274;18950;18732;19360;20300;18232;18682;20169;22833;23464;19970;23674;33086;34138
Seychelles;9496;11725;13988;;16034;53616;22043;21085;16016;14384;31830;17960;29455;19197;29246;28760;22860;27219;35107;33785
Chad;5076;5316;11495;8486;14976;21957;21513;20251;24158;60579;43263;29174;26879;16236;18247;28012;38611;32895;29470;33009
Niger;8906;10336;10393;12217;14125;23598;30142;22341;23924;27581;29969;29874;24485;27158;27200;44214;34877;37509;74764;31345
Cabo Verde;10364;13758;17836;19202;18605;22869;21839;24257;19501;22271;22442;19284;21793;24016;29887;27902;31175;25394;28433;29867
Solomon Islands;3133;4672;5614;6752;6507;5184;9414;9833;15441;11156;12269;9470;11971;12372;14665;13497;15496;19685;28226;28704
Cayman Islands;;;;;;;;;;;;;;;;;58286;99105;31572;27481
Ship stores and bunkers;3065;4717;5255;4919;7566;6430;4579;6111;9142;8912;8244;8060;6913;6786;32580;41431;14159;13977;26930;25703
Antigua and Barbuda;;8607;;15530;;11502;9682;8789;9425;10102;10645;12997;12392;16074;19452;18327;15071;21397;26475;24478
Guinea-Bissau;344;846;;;;;;;;528;1004;968;1173;1504;2133;15626;18666;30460;25440;22979
Gambia;2103;2626;2358;2832;9917;5949;3965;5693;8637;5531;5515;5164;3744;3083;4133;6746;9387;7180;18771;22492
Saint Lucia;15555;17782;19555;14297;15529;;;;18951;19753;20708;22620;24324;23465;23301;22779;20318;20234;23531;22392
Greenland;15214;13800;13821;18040;18200;18897;18439;18886;18449;24425;23672;19360;15547;14606;17047;17049;17025;20320;19086;20709
